中央频道,#genre#
CCTV8,http://116.117.106.74:8096/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV9,http://116.117.105.247:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV9,http://116.117.106.42:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV9,http://116.117.104.39:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV9,http://116.117.104.242:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV9,http://116.117.105.183:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV9,http://116.117.106.240:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV9,http://116.117.106.74:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV10,http://116.117.105.247:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV10,http://116.117.106.42:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV10,http://116.117.104.39:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV10,http://116.117.104.242:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV10,http://116.117.105.183:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV10,http://116.117.106.240:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV10,http://116.117.106.74:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV11,http://116.117.105.247:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV11,http://116.117.106.42:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV11,http://116.117.104.39:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV11,http://116.117.104.242:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV11,http://116.117.105.183:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV11,http://116.117.106.240:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV11,http://116.117.106.74:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV12,http://116.117.105.247:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV12,http://116.117.106.42:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV12,http://116.117.104.39:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV12,http://116.117.104.242:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV12,http://116.117.105.183:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV12,http://116.117.106.240:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV12,http://116.117.106.74:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV13,http://116.117.105.247:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV13,http://116.117.106.42:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV13,http://116.117.104.39:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV13,http://116.117.104.242:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV13,http://116.117.105.183:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV13,http://116.117.106.240:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV13,http://116.117.106.74:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV14,http://116.117.105.247:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV14,http://116.117.106.42:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV14,http://116.117.104.39:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV14,http://116.117.104.242:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV14,http://116.117.105.183:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV14,http://116.117.106.240:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
