央视频道,#genre#
CCTV4,http://114.254.85.102:8888/udp/239.3.1.105:8092,0.96
CCTV4,http://114.243.102.150:8888/udp/239.3.1.105:8092,0.95
CCTV4,http://123.113.249.203:8888/udp/239.3.1.105:8092,0.94
CCTV4,http://123.118.159.0:8686/udp/239.3.1.105:8092,0.94
CCTV4,http://111.196.12.108:7088/udp/239.3.1.105:8092,0.92
CCTV4,http://123.113.187.204:8000/udp/239.3.1.105:8092,0.92
CCTV4,http://111.196.129.152:20000/udp/239.3.1.105:8092,0.91
CCTV4,http://123.113.189.90:8001/udp/239.3.1.105:8092,0.9
CCTV4,http://114.244.237.230:7088/udp/239.3.1.105:8092,0.9
CCTV4,http://175.173.198.22:9010/udp/232.0.0.201:1234,0.86
CCTV4,http://221.221.162.225:8888/udp/239.3.1.105:8092,0.86
CCTV4,http://222.129.139.229:8888/udp/239.3.1.105:8092,0.86
CCTV4,http://114.252.235.176:8000/udp/239.3.1.105:8092,0.84
CCTV4,http://114.244.233.134:7088/udp/239.3.1.105:8092,0.8
CCTV4,http://175.173.198.22:9009/udp/232.0.0.201:1234,0.76
CCTV4,http://222.128.86.76:8133/udp/239.3.1.105:8092,0.76
CCTV4,http://114.254.93.146:2222/udp/239.3.1.105:8092,0.75
CCTV4,http://114.243.98.12:8888/udp/239.3.1.105:8092,0.7
CCTV4,http://123.113.237.160:8888/udp/239.3.1.105:8092,0.69
CCTV4,http://222.129.139.91:8888/udp/239.3.1.105:8092,0.65
CCTV4,http://114.243.102.173:8888/udp/239.3.1.105:8092,0.63
CCTV4,http://60.7.56.22:4000/udp/239.253.92.251:6141,0.62
CCTV4,http://114.254.91.251:2222/udp/239.3.1.105:8092,0.61
CCTV4,http://120.6.209.42:8866/udp/239.253.92.251:6141,0.57
CCTV4,http://221.221.167.14:8888/udp/239.3.1.105:8092,0.57
CCTV4,http://114.254.91.244:2222/udp/239.3.1.105:8092,0.56
CCTV4,http://60.7.56.33:4000/udp/239.253.92.251:6141,0.55
CCTV4,http://175.173.198.22:9001/udp/232.0.0.201:1234,0.55
CCTV4,http://114.254.87.41:2222/udp/239.3.1.105:8092,0.37
CCTV4,http://114.254.87.170:2222/udp/239.3.1.105:8092,0.35
CCTV4,http://114.254.82.176:2222/udp/239.3.1.105:8092,0.25
CCTV4欧洲,http://60.2.190.206:4000/udp/239.253.93.192:6370,1.02
CCTV4欧洲,http://60.10.106.114:555/udp/239.253.93.192:6370,1.02
CCTV4欧洲,http://101.20.43.127:555/udp/239.253.93.192:6370,1.02
CCTV4欧洲,http://111.196.135.75:8686/udp/239.3.1.213:4220,1.02
CCTV4欧洲,http://114.252.238.87:8000/udp/239.3.1.213:4220,1.02
CCTV4欧洲,http://221.222.162.206:8888/udp/239.3.1.213:4220,1.01
CCTV4欧洲,http://111.199.234.10:18888/udp/239.3.1.213:4220,0.97
CCTV4欧洲,http://114.254.85.102:8888/udp/239.3.1.213:4220,0.96
CCTV4欧洲,http://114.243.102.150:8888/udp/239.3.1.213:4220,0.95
CCTV4欧洲,http://123.113.249.203:8888/udp/239.3.1.213:4220,0.94
CCTV4欧洲,http://123.118.159.0:8686/udp/239.3.1.213:4220,0.94
CCTV4欧洲,http://111.196.12.108:7088/udp/239.3.1.213:4220,0.92
CCTV4欧洲,http://123.113.187.204:8000/udp/239.3.1.213:4220,0.92
CCTV4欧洲,http://111.196.129.152:20000/udp/239.3.1.213:4220,0.91
CCTV4欧洲,http://123.113.189.90:8001/udp/239.3.1.213:4220,0.9
CCTV4欧洲,http://114.244.237.230:7088/udp/239.3.1.213:4220,0.9
CCTV4欧洲,http://221.221.162.225:8888/udp/239.3.1.213:4220,0.86
