央视频道,#genre#:
CCTV6,http://171.120.110.84:8085/rtp/226.0.2.210:9592,0.94
CCTV6,http://114.240.43.235:8012/rtp/239.3.1.174:8001,0.94
CCTV6,http://221.217.54.246:8686/rtp/239.3.1.174:8001,0.94
CCTV6,http://60.220.167.37:8085/rtp/226.0.2.210:9592,0.94
CCTV6,http://106.120.14.74:2333/udp/225.1.8.84:8000,0.93
CCTV6,http://124.230.56.126:55555/udp/239.76.246.156:1234,0.93
CCTV6,http://171.116.226.246:8082/rtp/226.0.2.210:9592,0.93
CCTV6,http://114.243.156.93:8888/rtp/239.3.1.174:8001,0.93
CCTV6,http://183.187.89.66:8888/rtp/226.0.2.210:9592,0.93
CCTV6,http://175.150.152.34:9007/rtp/232.0.0.172:1234,0.89
CCTV6,http://42.237.181.183:4000/rtp/225.1.4.160:1196,0.87
CCTV6,http://123.113.237.160:8888/rtp/239.3.1.174:8001,0.59
CCTV6,http://115.171.216.91:4000/udp/225.1.8.84:8000,0.55
CCTV7,http://171.116.226.246:8082/rtp/226.0.2.159:9184,0.95
CCTV7,http://111.199.232.88:18888/rtp/239.3.1.61:8104,0.95
CCTV7,http://114.240.43.235:8012/rtp/239.3.1.61:8104,0.95
CCTV7,http://221.217.54.246:8686/rtp/239.3.1.61:8104,0.95
CCTV7,http://42.237.181.199:4000/rtp/225.1.4.76:1105,0.95
CCTV7,http://60.220.167.43:8085/rtp/226.0.2.159:9184,0.95
CCTV7,http://114.243.156.93:8888/rtp/239.3.1.61:8104,0.94
CCTV7,http://211.90.88.212:8085/rtp/226.0.2.159:9184,0.94
CCTV7,http://60.220.167.37:8085/rtp/226.0.2.159:9184,0.94
CCTV7,http://106.120.14.74:2333/udp/225.1.8.7:8104,0.93
CCTV7,http://114.243.104.126:8888/rtp/239.3.1.61:8104,0.92
CCTV7,http://171.120.110.84:8085/rtp/226.0.2.159:9184,0.91
CCTV7,http://183.187.89.66:8888/rtp/226.0.2.159:9184,0.91
CCTV7,http://123.113.237.160:8888/rtp/239.3.1.61:8104,0.87
CCTV7,http://42.237.181.183:4000/rtp/225.1.4.76:1105,0.87
CCTV7,http://115.171.216.91:4000/udp/225.1.8.7:8104,0.53
CCTV8,http://60.220.167.43:8085/rtp/226.0.2.211:9600,0.95
CCTV8,http://106.120.14.74:2333/udp/225.1.8.85:8000,0.94
CCTV8,http://114.246.180.128:4022/rtp/239.3.1.175:8001,0.94
CCTV8,http://123.113.237.160:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://171.116.226.246:8082/rtp/226.0.2.211:9600,0.94
CCTV8,http://114.243.156.93:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://111.199.232.88:18888/rtp/239.3.1.175:8001,0.94
CCTV8,http://114.240.43.235:8012/rtp/239.3.1.175:8001,0.94
CCTV8,http://183.187.89.66:8888/rtp/226.0.2.211:9600,0.94
CCTV8,http://221.217.54.246:8686/rtp/239.3.1.175:8001,0.94
CCTV8,http://60.220.167.37:8085/rtp/226.0.2.211:9600,0.94
CCTV8,http://171.116.226.246:8084/rtp/226.0.2.211:9600,0.93
CCTV8,http://211.90.88.212:8085/rtp/226.0.2.211:9600,0.93
CCTV8,http://42.237.181.183:4000/rtp/225.1.4.161:1197,0.86
CCTV8,http://115.171.216.91:4000/udp/225.1.8.85:8000,0.58
CCTV9,http://111.199.232.88:18888/rtp/239.3.1.62:8112,0.95
CCTV9,http://114.240.43.235:8012/rtp/239.3.1.62:8112,0.95
CCTV9,http://221.217.54.246:8686/rtp/239.3.1.62:8112,0.95
CCTV9,http://123.113.14.115:8012/rtp/239.3.1.62:8112,0.95
CCTV9,http://60.220.167.37:8085/rtp/226.0.2.161:9200,0.95
CCTV9,http://171.120.110.84:8085/rtp/226.0.2.161:9200,0.94
CCTV9,http://124.230.56.126:55555/udp/239.76.253.159:9000,0.93
CCTV9,http://211.90.88.212:8085/rtp/226.0.2.161:9200,0.93
CCTV9,http://183.187.89.66:8888/rtp/226.0.2.161:9200,0.92
CCTV9,http://171.116.226.246:8084/rtp/226.0.2.161:9200,0.92
CCTV9,http://60.220.167.43:8085/rtp/226.0.2.161:9200,0.92
CCTV9,http://171.116.226.246:8082/rtp/226.0.2.161:9200,0.91
CCTV9,http://60.220.167.49:8082/rtp/226.0.2.161:9200,0.82
CCTV9,http://175.150.152.34:9005/rtp/232.0.0.137:1234,0.82
CCTV9,http://175.150.152.34:9007/rtp/232.0.0.137:1234,0.77
CCTV9,http://115.171.216.91:4000/udp/225.1.8.9:8112,0.63
CCTV10,http://123.113.237.160:8888/rtp/239.3.1.63:8116,0.95
CCTV10,http://111.199.232.88:18888/rtp/239.3.1.63:8116,0.95
CCTV10,http://114.240.43.235:8012/rtp/239.3.1.63:8116,0.95
CCTV10,http://221.217.54.246:8686/rtp/239.3.1.63:8116,0.95
CCTV10,http://123.113.14.115:8012/rtp/239.3.1.63:8116,0.95
CCTV10,http://171.116.226.246:8084/rtp/226.0.2.162:9208,0.95
CCTV10,http://60.220.167.43:8085/rtp/226.0.2.162:9208,0.95
CCTV10,http://171.116.226.246:8082/rtp/226.0.2.162:9208,0.94
CCTV10,http://211.90.88.212:8085/rtp/226.0.2.162:9208,0.94
CCTV10,http://60.220.167.37:8085/rtp/226.0.2.162:9208,0.94
CCTV10,http://124.230.56.126:55555/udp/239.76.253.160:9000,0.93
CCTV10,http://114.243.156.93:8888/rtp/239.3.1.63:8116,0.93
CCTV10,http://183.187.89.66:8888/rtp/226.0.2.162:9208,0.91
CCTV10,http://42.237.181.183:4000/rtp/225.1.4.78:1107,0.86
CCTV10,http://114.243.104.126:8888/rtp/239.3.1.63:8116,0.8
CCTV10,http://123.113.249.203:8888/rtp/239.3.1.63:8116,0.6
CCTV10,http://115.171.216.91:4000/udp/225.1.8.10:8116,0.56
CCTV11,http://111.199.232.88:18888/rtp/239.3.1.152:8120,0.95
CCTV11,http://175.150.152.34:9007/rtp/232.0.0.178:1234,0.95
CCTV11,http://221.217.54.246:8686/rtp/239.3.1.152:8120,0.95
CCTV11,http://106.120.14.74:2333/udp/225.1.8.73:8120,0.94
CCTV11,http://114.240.43.235:8012/rtp/239.3.1.152:8120,0.94
CCTV11,http://42.237.181.199:4000/rtp/225.1.4.215:1268,0.94
CCTV11,http://123.113.237.160:8888/rtp/239.3.1.152:8120,0.9
CCTV11,http://42.237.181.183:4000/rtp/225.1.4.215:1268,0.87
CCTV11,http://123.113.249.203:8888/rtp/239.3.1.152:8120,0.77
CCTV11,http://114.243.156.93:8888/rtp/239.3.1.152:8120,0.73
CCTV11,http://115.171.216.91:4000/udp/225.1.8.73:8120,0.63
CCTV12,http://222.129.33.14:8888/rtp/239.3.1.64:8124,0.95
CCTV12,http://111.199.232.88:18888/rtp/239.3.1.64:8124,0.95
CCTV12,http://114.240.43.235:8012/rtp/239.3.1.64:8124,0.95
CCTV12,http://221.217.54.246:8686/rtp/239.3.1.64:8124,0.95
CCTV12,http://42.237.181.199:4000/rtp/225.1.4.79:1108,0.95
CCTV12,http://60.220.167.43:8085/rtp/226.0.2.164:9224,0.95
CCTV12,http://171.116.226.246:8082/rtp/226.0.2.164:9224,0.94
CCTV12,http://114.243.156.93:8888/rtp/239.3.1.64:8124,0.94
CCTV12,http://211.90.88.212:8085/rtp/226.0.2.164:9224,0.94
CCTV12,http://115.171.216.91:4000/udp/225.1.8.12:8124,0.93
CCTV12,http://183.187.89.66:8888/rtp/226.0.2.164:9224,0.93
CCTV12,http://171.120.110.84:8085/rtp/226.0.2.164:9224,0.88
CCTV12,http://42.237.181.183:4000/rtp/225.1.4.79:1108,0.87
CCTV12,http://60.220.167.49:8082/rtp/226.0.2.164:9224,0.79
CCTV12,http://123.113.236.69:8012/rtp/239.3.1.64:8124,0.75
CCTV12,http://114.252.229.100:8000/rtp/239.3.1.64:8124,0.56
CCTV13,http://106.120.14.74:2333/udp/225.1.1.10:8128,0.95
CCTV13,http://114.246.180.128:4022/rtp/239.3.1.124:8128,0.95
